PID,Status,Address,Subdivision,# Bedrooms,# Baths,# Rooms,Fin SF,List Price,Sales Price,Days On Market
754-765-5520,CLOSD,9717 Needles WAY,Bridgewood,4,2.1,8,1912,184500,190000,20
754-765-5520,CLOSD,9717 Needles WAY,Bridgewood,4,2.1,8,1912,184950,185000,14
755-763-7085,CLOSD,9502 Broad Meadows RD,Meredith Woods,3,2,6,1530,184950,184950,4
755-765-0106,CLOSD,9700 Needles WAY,Bridgewood,3,1.1,5,1362,184950,180000,17
754-764-8461,CLOSD,9603 Broad Meadows RD,Meredith Woods,3,2.1,8,1728,185000,187000,45
755-764-2185,CLOSD,4905 Tag PL,Bridgewood,3,2,8,1722,185500,185500,11
754-765-1524,CLOSD,4448 Lumberjack LN,Woods At Innsbrook,3,2.1,7,1450,186500,183250,13
753-764-7991,CLOSD,10617 Lumberjack CT,Woods At Innsbrook,3,2.1,6,1618,187250,182500,11
753-764-6166,CLOSD,10709 Shadyford LN,Woods At Innsbrook,3,2.1,6,1912,189000,179500,9
755-764-2037,CLOSD,4905 Meredith Woods RD,Meredith Woods,4,3,7,2022,189950,180000,23
754-763-9598,CLOSD,9504 Steamboat DR,Meredith Woods,3,2.1,6,1568,189950,189950,6
755-765-7626,CLOSD,5009 Eddings DR,Bridgewood,3,2,6,1120,189950,195000,5
755-765-0931,CLOSD,5001 Broad Meadows Road,Bridgewood,3,1,5,1188,189950,187500,37
754-765-5633,CLOSD,9721 Needles WAY,Bridgewood,3,2,7,1588,189950,185000,56
754-765-3332,CLOSD,4453 Lumberjack LN,Woods At Innsbrook,4,2,6,1680,194500,195500,68
754-765-3266,CLOSD,4513 Woodshire PL,The Woods At Innsbrook,4,2,6,1497,194500,194500,4
753-764-7482,CLOSD,10700 SHADYFORD LN,Woods At Innsbrook,3,2.1,7,1428,197900,196440,117
754-764-8990,CLOSD,9703 Needles WAY,Bridgewood,3,1.1,6,1422,198000,192000,4
754-764-9006,CLOSD,4807 Killington RD,Meredith Woods,3,2.1,7,1876,199000,192500,118
755-765-4682,CLOSD,5020 Broad Meadows RD,Country Meadows,3,2.1,6,1434,199000,195000,5
756-764-1446,CLOSD,4930 MEREDITH WOODS RD,Bridgewood,3,1.1,7,1552,199500,193500,100
754-764-3391,CLOSD,4433 Lumberjack LN,Woods At Innsbrook,3,2.1,6,1442,199900,198300,30
755-765-5113,CLOSD,9606 Timber Pass,Bridgewood,5,3,8,1896,199900,205000,3
755-764-3987,CLOSD,4908 Tag PL,Bridgewood,3,2.1,6,1804,199950,197000,66
755-765-3255,CLOSD,9617 Country Way RD,Country Meadows,3,2,6,1552,199950,199500,43
755-764-3756,CLOSD,4908 Meredith Woods RD,Meredith Woods,4,2.1,8,1880,199950,199950,82
754-764-6714,CLOSD,4804 Killington RD,Meredith Woods,4,2,8,1404,199950,194000,56
755-765-2996,CLOSD,5021 Broad Meadows RD,Country Meadows,3,2.1,6,1440,199950,199950,8
755-765-0106,CLOSD,9700 Needles WAY,Bridgewood,3,1.1,5,1416,199950,199000,24
754-764-5324,CLOSD,4801 Meredith Woods RD,Meredith Woods,4,2.1,8,1832,199950,189500,41
755-763-3467,CLOSD,4808 Tahoe CT,Meredith Woods,3,3,7,1600,199950,192500,100
754-763-5891,CLOSD,4801 Killington RD,Meredith Woods,3,2,6,1352,199950,199950,3
754-765-3275,CLOSD,4512 Woodshire PL,The Woods At Innsbrook,3,2.1,6,1436,199990,200000,18
754-765-3266,CLOSD,4513 Woodshire PL,Woods At Innsbrook,4,2,6,1497,200000,194025,42
753-765-8445,CLOSD,10708 Timber PASS,The Woods At Innsbrook,3,2.1,6,1560,202900,203000,8
754-764-6997,CLOSD,9709 Needles WAY,Bridgewood,4,2.1,11,1840,204950,180000,237
754-766-8311,CLOSD,9730 Country Way RD,Country Meadows,3,2,6,1188,204950,198000,46
755-765-3255,CLOSD,9617 Country Way RD,Country Meadows,3,2,7,1552,204950,202450,15
755-764-5391,CLOSD,9605 Timber Pass,Bridgewood,3,1.1,7,1576,204990,205000,33
756-764-1851,CLOSD,4932 Meredith Woods RD,Bridgewood,4,3,7,1760,205000,205000,8
753-765-9363,CLOSD,10605 Woodshire WAY,Woods At Innsbrook,3,2.1,6,1618,209900,190000,64
754-765-8889,CLOSD,9714 Country Way RD,Country Meadows,3,2.1,6,1472,209900,206000,8
754-763-3187,CLOSD,10604 Cliffmore DR,Olde Springfield,4,2.1,8,2134,209950,209950,8
755-765-4450,CLOSD,9613 Country Way RD,Country Meadows,4,2.1,8,1949,209950,209950,17
754-764-7262,CLOSD,9602 Meredith Woods CT,Meredith Woods,3,2.1,8,1592,209950,211000,12
755-764-0469,CLOSD,9604 Broad Meadows RD,Meredith Woods,3,1.1,6,1564,209950,209000,22
755-764-9874,CLOSD,9511 Timber Pass,Bridgewood,4,2,9,1562,209950,209950,9
754-765-5633,CLOSD,9721 Needles Way,Bridgewood,3,2,7,1588,209950,209950,101
755-764-7741,CLOSD,4920 Meredith Woods RD,Meredith Woods,4,2.1,8,1954,209950,209950,156
755-764-3987,CLOSD,4908 tag PL,Bridgewood,4,2.1,7,1752,209950,205000,27
754-765-2048,CLOSD,10608 Timber PASS,Woods At Innsbrook,3,2.1,6,1660,210000,211000,7
754-765-1860,CLOSD,4505 Woodshire PL,The Woods At Innsbrook,3,2.1,8,1628,210000,200000,11
755-765-2789,CLOSD,5019 Broad Meadows RD,Country Meadows,3,2,6,1480,213000,210000,28
756-764-0614,CLOSD,4929 Meredith Woods RD,Meredith Woods,3,1.1,7,1560,214500,226600,73
754-765-2749,CLOSD,10604 Timber Pass,Woods At Innsbrook,3,2.1,7,1694,214900,205000,106
754-765-7330,CLOSD,9712 Needles WAY,Bridgewood,3,2.1,9,1600,214900,212000,53
755-764-2814,CLOSD,9516 Broad Meadows RD,Meredith Woods,3,2.1,6,1752,214950,215000,19
754-764-6829,CLOSD,4805 Meredith Woods RD,Meredith Woods,3,2,7,1728,214950,200000,11
754-764-5363,CLOSD,9605 Meredith Woods CT,Meredith Woods,3,2,6,1438,214950,209000,2
755-765-1461,CLOSD,9703 Country Way RD,Country Meadows,3,2.1,6,1492,215000,210000,97
755-764-8711,CLOSD,4925 Meredith Woods Road,Meredith Woods,3,2,10,1560,217950,216000,136
755-765-0978,CLOSD,5001 Country Way CT,Country Meadows,3,2.1,6,1440,217950,212750,74
753-764-9596,CLOSD,10609 Lumberjack CT,Woods At Innsbrook,3,2.1,7,1472,219000,219000,57
756-763-1195,CLOSD,4910 Snowshoe CT,Meredith Woods,4,2.1,7,1825,219000,208000,95
756-764-1069,CLOSD,9507 Timber Pass,Bridgewood,3,2.1,7,1600,219000,219000,37
755-764-3907,CLOSD,9512 Broad Meadows RD,Meredith Woods,4,2,7,1920,219000,210000,63
755-763-4281,CLOSD,9501 Broad Meadows RD,Meredith Woods,4,2.1,10,1896,219950,214000,96
754-764-8453,CLOSD,9601 Broad Meadows RD,Meredith Woods,4,2.1,10,2212,219950,209950,105
754-764-6714,CLOSD,4804 Killington RD,Meredith Woods,4,2,6,1450,219950,219950,71
755-764-1158,CLOSD,4902 Meredith Woods RD,Meredith Woods,3,2.1,8,1764,219950,219950,6
755-765-0763,CLOSD,9705 Country Way RD,Country Meadows,4,2,8,1712,219990,218750,31
756-764-0614,CLOSD,4929 Meredith Woods RD,Meredith Woods,3,1.1,6,1560,224427,220000,103
755-765-7637,CLOSD,9603 Country Way RD,Country Meadows,3,2.1,6,1500,224950,224950,5
755-765-0978,CLOSD,5001 Country Way CT,Country Meadows,3,2.1,6,1440,224950,224950,19
754-764-6046,CLOSD,4802 Meredith Woods RD,Meredith Woods,4,2.1,8,1824,224950,215000,50
754-764-5909,CLOSD,4802 Killington RD,Meredith Woods,3,2,7,1352,224950,224950,4
755-765-6442,CLOSD,9607 Country Way RD,Country Meadows,3,2,6,1552,225000,219000,45
754-764-3197,CLOSD,4437 Lumberjack LN,Woods At Innsbrook,4,2.1,7,1926,229000,228000,95
755-765-5845,CLOSD,9609 Country Way RD,Country Meadows,3,2.1,6,1557,229000,229000,3
755-765-4450,CLOSD,9613 Country Way RD,Country Meadows,4,2.1,8,1904,229500,229500,52
755-765-0165,CLOSD,9707 Country Way RD,Country Meadows,3,2.1,7,1580,229500,229500,9
755-765-1391,CLOSD,5005 Country Way CT,Country Meadows,3,2.1,7,1526,229500,226000,60
754-765-2048,CLOSD,10608 Timber PASS,The Woods At Innsbrook,3,2.1,7,1660,229500,232000,3
754-764-0498,CLOSD,10605 Lumberjack CT,Woods At Innsbrook,3,2.1,7,1752,229950,227000,114
754-763-5961,CLOSD,9636 Craigs Mill DR,Craigs Mill,4,2.1,8,2475,229950,229950,36
754-765-3316,CLOSD,4445 Lumberjack LN,The Woods At Innsbrook,3,2,5,1512,229950,222000,16
7557547266,CLOSD,4903 Cord CT,Bridgewood,3,1.1,10,1520,229950,229950,40
754-765-7377,CLOSD,9715 Country Way RD,Country Meadows,3,2.1,8,1692,229950,234950,17
754-764-6881,CLOSD,9606 Meredith Woods CT,Meredith Woods,5,3,10,2492,232500,230000,171
754-763-7888,CLOSD,9509 Steamboat DR,Meredith Woods,3,2.1,8,2124,234950,235000,25
755-765-0763,CLOSD,9705 Country Way RD,Country Meadows,4,2,7,1758,234950,225000,36
754-765-6450,CLOSD,9710 Timber PASS,Bridgewood,3,2.1,7,2034,234950,234950,14
754-765-5513,CLOSD,9715 Needles WAY,Bridgewood,3,2.1,7,1664,234950,233000,59
753-764-7065,CLOSD,10705 Shadyford LN,Woods At Innsbrook,4,2,6,1739,234950,233000,41
755-765-1391,CLOSD,5005 Country Way CT,Country Meadows,3,2.1,6,1512,234950,229000,33
753-765-9445,CLOSD,10597 Woodshire WAY,The Woods At Innsbrook,3,2.1,7,1808,234950,220000,104
754-765-3349,CLOSD,10600 Timber PASS,Woods At Innsbrook,4,2.1,8,1824,234950,225000,6
755-765-0763,CLOSD,9705 Country Way RD,Country Meadows,4,2,8,1758,235000,232000,60
754-764-8337,CLOSD,9517 Broad Meadows RD,Meredith Woods,3,2.1,6,1568,235000,232000,8
754-765-8126,CLOSD,9709 Timber PASS,Bridgewood,4,2.1,9,2392,236800,236800,59
755 765 7637,CLOSD,9603 Country Way RD,Country Meadows,3,2.1,6,1500,237500,236500,10
753-765-9129,CLOSD,10705 Timber PASS,The Woods At Innsbrook,3,2.1,6,1618,238950,238950,33
754-764-8021,CLOSD,4808 Killington RD,Meredith Woods,4,2,7,1820,239900,239900,7
754-764-8453,CLOSD,9601 Broad Meadows RD,Meredith Woods,4,2.1,8,2212,239950,235500,6
753-765-9363,CLOSD,10605 Woodshire WAY,Woods At Innsbrook,3,2.1,6,1618,239950,239950,2
754-764-5363,CLOSD,9605 Meredith Woods CT,Meredith Woods,3,2,6,1518,239950,235000,98
755-764-2037,CLOSD,4905 Meredith Woods RD,Meredith Woods,4,3,7,2000,239950,239950,16
753-765-6824,CLOSD,10717 Timber PASS,Woods At Innsbrook,3,2.1,7,1616,239950,233000,21
755-765-0165,CLOSD,9707 Country Way RD,Country Meadows,3,2.1,7,1644,243500,241500,18
753-764-7297,CLOSD,10621 Lumberjack CT,The Woods At Innsbrook,3,2.1,7,1824,243500,237500,54
754-765-1860,CLOSD,4505 Woodshire PL,Woods At Innsbrook,3,2.1,6,1628,244900,235000,13
753-764-7297,CLOSD,10621 Lumberjack CT,The Woods At Innsbrook,3,2.1,7,1824,244950,242500,4
754-764-7262,CLOSD,9602 Meredith Woods CT,Meredith Woods,3,2.1,6,1592,245000,246000,5
753-765-9729,CLOSD,10701 Timber PASS,Woods At Innsbrook,3,2.1,7,1824,245000,240000,18
754-764-8291,CLOSD,9705 Needles WAY,Bridgewood,4,2.1,8,2000,247500,235000,129
754-764-8021,CLOSD,4808 Killington RD,Meredith Woods,4,2,6,1820,247500,247500,30
754-765-1401,CLOSD,4438 Lumber Jack Ln,The Woods At Innsbrook,3,2.1,8,1636,249000,249000,20
755-765-9814,CLOSD,5010 Eddings DR,None,4,2,11,2300,249500,245500,22
753-765-9445,CLOSD,10597 Woodshire WAY,Woods At Innsbrook,3,2.1,7,1766,249900,243300,32
754-764-9487,CLOSD,9701 Needles WAY,Bridgewood,3,2.1,8,1840,249900,249900,9
755-764-7741,CLOSD,4920 Meredith Woods RD,Meredith Woods,4,2.1,7,1714,249900,235500,32
754-765-1180,CLOSD,4500 Woodshire PL,Woods At Innsbrook,4,2.1,8,2063,249950,241000,116
754-763-2490,CLOSD,10608 Cliffmore DR,Olde Springfield,4,2.1,8,2380,249950,256000,35
754-763-7888,CLOSD,9509 Steamboat DR,Meredith Woods,3,2.1,8,1813,249950,247500,62
754-764-8291,CLOSD,9705 NEEDLES WAY,Bridgewood,4,2.1,8,1936,249950,249950,8
753-764-9284,CLOSD,4404 Lumberjack LN,The Woods At Innsbrook,4,2.1,9,1992,249950,244300,6
755-764-5463,CLOSD,4900 Tag PL,Bridgewood,5,3,11,2409,249950,240000,10
754-765-2859,CLOSD,4509 Woodshire PL,Woods At Innsbrook,3,2.1,7,1697,250000,247000,20
754-765-2048,CLOSD,10608 Timber Pass,The Woods At Innsbrook,3,2.1,7,1660,252950,252950,26
754-765-1516,CLOSD,4444 Lumber Jack LN,The Woods At Innsbrook,3,2.1,7,1824,254900,240000,48
754-765-0730,CLOSD,10615 Timber PASS,Woods At Innsbrook,3,2.1,7,1660,255000,249000,26
754-765-2859,CLOSD,4509 Woodshire PL,The Woods At Innsbrook,3,2.1,8,1694,259500,255000,56
753-764-9284,CLOSD,4404 Lumberjack LN,The Woods At Innsbrook,4,2.1,9,1992,259900,250000,100
753-764-9284,CLOSD,4404 Lumberjack LN,The Woods At Innsbrook,4,2.1,9,1992,259950,249000,34
754-763-9078,CLOSD,9505 Steamboat DR,Meredith Woods,4,3,6,1820,259950,257000,43
753-764-8793,CLOSD,10613 Lumberjack CT,Woods At Innsbrook,4,2.1,8,2022,262500,266500,3
754-763-2490,CLOSD,10608 Cliffmore DR,Olde Springfield,4,2.1,8,2308,263000,180000,22
755-764-7458,CLOSD,4901 Cord CT,Bridgewood,5,3,11,2409,264900,263400,19
755-763-8089,CLOSD,4902 Snowshoe CT,Meredith Woods,3,2.1,9,2080,265000,265000,47
754-763-8328,CLOSD,9621 Craigs Mill DR,Craigs Mill,5,3,8,3014,269950,271950,5
754-764-8453,CLOSD,9601 Broad Meadows RD,Meredith Woods,4,2.1,8,2212,269950,269950,40
753-764-6788,CLOSD,10704 Shadyford LN,The Woods At Innsbrook,4,2.1,10,2548,269950,265000,157
755-765-4682,CLOSD,5020 Broad Meadows RD,Broad Meadows,3,2.1,9,1816,274900,240000,58
755-763-7678,CLOSD,9500 Broad Meadows RD,Meredith Woods,4,2,9,2304,274950,272850,63
755-763-8089,CLOSD,4902 Snowshoe CT,Meredith Woods,3,2.1,8,2072,277500,277500,47
753-764-5366,CLOSD,10713 Shadyford LN,The Woods At Innsbrook,4,2.1,7,1782,277500,272500,40
755-763-7678,CLOSD,9500 Broad Meadows RD,Meredith Woods,4,2,9,2296,280000,280000,25
754-765-1401,CLOSD,4438 Lumber Jack LN,The Woods At Innsbrook,3,2.1,9,1636,284500,275000,14
754-765-1631,CLOSD,4452 Lumber Jack LN,Woods At Innsbrook,4,2.1,8,2068,284900,287900,6
754-763-6561,CLOSD,9632 Craigs Mill DR,Craigs Mill,4,2.1,9,2028,288000,279500,109
754-763-2490,CLOSD,10608 Cliffmore DR,Olde Springfield,4,2.1,8,2308,289950,280000,58
7547632490,CLOSD,10608 Cliffmore DR,Olde Springfield,4,2.1,8,2308,299500,288400,45
755-763-1450,CLOSD,4803 Round Top RD,Craigs Mill,4,2.1,9,2178,299950,290000,52
753-763-8887,CLOSD,10624 Cliffmore DR,Olde Springfield,5,2.1,10,2500,300000,295000,37
754-763-3267,CLOSD,10605 Cliffmore DR,Olde Springfield,4,2.1,9,2500,319000,315000,57
754-763-7441,CLOSD,9629 Craigs Mill DR,Craigs Mill,4,2.1,8,2649,319900,319900,7
754-763-5961,CLOSD,9636 Craigs Mill DR,Craigs Mill,4,2.1,9,2600,323900,310000,46
754-763-9756,CLOSD,4802 Round Top RD,Craigs Mill,4,2.1,9,2498,324500,300000,12
754-763-7441,CLOSD,9629 Craigs Mill DR,Craigs Mill,4,2.1,8,2762,335000,325000,12
754-763-6475,CLOSD,4804 Craigs Mill CT,Craigs Mill,5,2.1,12,3135,375950,355000,162
